cmte_id,cand_id,cand_nm,recipient_nm,disb_amt,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp
C00579458,"P60008059","Bush, Jeb","WALMART",6.42,02-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I21818","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",46.72,02-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I21819","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",2.59,02-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I21820","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",152.02,02-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I21824","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",12.67,02-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I21825","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",4.28,02-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I21828","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",2.32,04-SEP-15,"BENTONVILLE","AR","72716","CLEANING SUPPLIES","X","","SB23","1047239","SB23.I8680","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",6.66,04-SEP-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1047239","SB23.I8655","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",16.86,06-AUG-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1047239","SB23.I6754","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",46.58,28-JUL-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1047239","SB23.I6674","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",416.02,02-SEP-15,"BENTONVILLE","AR","72716","OFFICE FURNITURE","X","","SB23","1047239","SB23.I8761","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",24.54,04-SEP-15,"BENTONVILLE","AR","72716","CLEANING SUPPLIES","X","","SB23","1047239","SB23.I8681","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",4.11,04-SEP-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1047239","SB23.I8682","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",6.03,10-AUG-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1047239","SB23.I6930","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",137.36,10-AUG-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1047239","SB23.I6632","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",123.1,20-AUG-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1047239","SB23.I5791","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",21.2,06-AUG-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1047239","SB23.I7588","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",20.61,06-AUG-15,"BENTONVILLE","AR","72716","PAPER","X","","SB23","1047239","SB23.I7589","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",39.3,13-JUL-15,"BENTONVILLE","AR","72716","TRAVEL","X","","SB23","1047239","SB23.I7535","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",46.1,02-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I20941","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",-16.28,02-OCT-15,"BENTONVILLE","AR","72716","CREDIT-OFFICE SUPPLIES","X","","SB23","1072235","SB23.I20948","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",12.54,02-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I20952","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",2.43,02-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I20962","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",16.89,02-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I20963","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",322.58,11-NOV-15,"BENTONVILLE","AR","72716","OFFICE FURNITURE","X","","SB23","1072235","SB23.I22154","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",17.48,11-FEB-16,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE/OFFICE SUPPLIES","X","","SB23","1072242","SB23.I29559","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",24.56,11-FEB-16,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072242","SB23.I29562","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",6.06,04-SEP-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1047239","SB23.I8683","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",32.01,03-JUL-15,"BENTONVILLE","AR","72716","OFFICE EQUIPMENT","X","","SB23","1047239","SB23.I7485","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",175.17,05-AUG-15,"BENTONVILLE","AR","72716","OFFICE EQUIPMENT","X","","SB23","1047239","SB23.I6975","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",12.81,09-SEP-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1047239","SB23.I8578","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",22.05,04-SEP-15,"BENTONVILLE","AR","72716","CORK BOARD","X","","SB23","1047239","SB23.I8684","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",39.21,11-SEP-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1047239","SB23.I8450","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",47.04,06-AUG-15,"BENTONVILLE","AR","72716","OFFICE EQUIPMENT","X","","SB23","1047239","SB23.I7300","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",6.32,03-AUG-15,"BENTONVILLE","AR","72716","PENS","X","","SB23","1047239","SB23.I6735","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",64.16,04-SEP-15,"BENTONVILLE","AR","72716","COMPUTER EQUIPMENT","X","","SB23","1047239","SB23.I8693","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",16.95,04-SEP-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1047239","SB23.I8694","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",28.09,04-SEP-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1047239","SB23.I8695","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",50.04,04-SEP-15,"BENTONVILLE","AR","72716","COMPUTER EQUIPMENT","X","","SB23","1047239","SB23.I8696","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",7.85,04-SEP-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1047239","SB23.I8697","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",181.72,04-SEP-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE/TRASH CANS","X","","SB23","1047239","SB23.I8698","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",17.8,03-DEC-15,"BENTONVILLE","AR","72716","GAS","X","","SB23","1072235","SB23.I21932","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",36.27,02-NOV-15,"BENTONVILLE","AR","72716","PRINTING","X","","SB23","1072235","SB23.I24174","P2016",
C00579458,"P60008059","Bush, Jeb","STEPHENS INC.",2850,01-OCT-15,"LITTLE ROCK","AR","72201","AIR CHARTER 10/2/2015","","","SB23","1072235","SB23.I8974","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",4.76,23-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I21842","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",49.04,16-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I21718","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",94.15,02-NOV-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I23882","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",18.44,23-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I20990","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",1.97,10-NOV-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I22230","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",36.67,29-JAN-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1057122","SB23.I27333","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",31.86,29-JAN-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1057122","SB23.I27334","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",198.49,02-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I21666","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",13.48,02-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I21673","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",111.33,02-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I21695","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",18.1,02-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I21702","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",38.88,08-DEC-15,"BENTONVILLE","AR","72716","OFFICE EQUIPMENT","X","","SB23","1072235","SB23.I24226","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",35.33,14-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I22013","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",14.74,04-DEC-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I21599","P2016",
C00579458,"P60008059","Bush, Jeb","SAM'S CLUB",120.29,12-JAN-16,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1057122","SB23.I26384","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",18.02,05-JAN-16,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1057122","SB23.I25826","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",12.24,16-NOV-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I24228","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",25.77,16-NOV-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I22740","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",101.41,07-DEC-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I23107","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",31.26,01-DEC-15,"BENTONVILLE","AR","72716","OFFICE EQUIPMENT","X","","SB23","1072235","SB23.I20918","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",15.92,18-NOV-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I22573","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",8,16-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I20880","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",8,16-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I20881","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",116.94,16-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I20882","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",37.82,16-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I20886","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",33.92,20-NOV-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I21865","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",63.51,15-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I22119","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",19.77,15-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I22124","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",27.99,20-NOV-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I21864","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",52.25,19-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I23060","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",94.76,03-MAR-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1063896","SB23.I31225","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",53.59,03-MAR-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1063896","SB23.I31228","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",60.48,03-MAR-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1063896","SB23.I31233","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",24,01-JAN-16,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1057122","SB23.I27414","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",3.38,08-JAN-16,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1057122","SB23.I26188","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",69.04,08-JAN-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1057122","SB23.I26257","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",37.99,29-FEB-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072242","SB23.I28519","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",51.88,29-FEB-16,"BENTONVILLE","AR","72716","OFFICE EQUIPMENT","X","","SB23","1072242","SB23.I28520","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",167.44,29-FEB-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072242","SB23.I28522","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",132.99,10-FEB-16,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE/OFFICE SUPPLIES","X","","SB23","1072242","SB23.I30323","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",6.43,25-AUG-15,"BENTONVILLE","AR","72716","COMPUTER EQUIPMENT","X","","SB23","1047239","SB23.I7367","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",34.58,10-JUL-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1047239","SB23.I6266","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",6.72,14-AUG-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1047239","SB23.I6562","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",19.01,13-JUL-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1047239","SB23.I7790","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",89.86,28-JUL-15,"BENTONVILLE","AR","72716","PAPER","X","","SB23","1047239","SB23.I7335","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",262.02,05-AUG-15,"BENTONVILLE","AR","72716","COMPUTER EQUIPMENT","X","","SB23","1047239","SB23.I7427","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",61.29,05-AUG-15,"BENTONVILLE","AR","72716","OFFICE EQUIPMENT","X","","SB23","1047239","SB23.I7428","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",574.5,31-AUG-15,"BENTONVILLE","AR","72716","OFFICE FURNITURE","X","","SB23","1047239","SB23.I5838","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",32.37,31-AUG-15,"BENTONVILLE","AR","72716","FLAG","X","","SB23","1047239","SB23.I5839","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",137.66,31-AUG-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE/EXTENSION CORDS","X","","SB23","1047239","SB23.I5840","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",288.11,31-AUG-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGES/CHAIRS","X","","SB23","1047239","SB23.I5841","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",12,31-AUG-15,"BENTONVILLE","AR","72716","HARDWARE","X","","SB23","1047239","SB23.I5842","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",3.11,31-AUG-15,"BENTONVILLE","AR","72716","PAPER","X","","SB23","1047239","SB23.I5843","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",3.79,12-AUG-15,"BENTONVILLE","AR","72716","POSTERS","X","","SB23","1047239","SB23.I7842","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",6.82,12-AUG-15,"BENTONVILLE","AR","72716","COMPUTER EQUIPMENT","X","","SB23","1047239","SB23.I7843","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",15.56,12-AUG-15,"BENTONVILLE","AR","72716","PAPER","X","","SB23","1047239","SB23.I7844","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",22.61,05-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I23254","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",241.83,05-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I23264","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",1.58,02-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I21487","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",51.49,11-FEB-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072242","SB23.I29908","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",404.94,11-FEB-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072242","SB23.I29909","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",404.94,11-FEB-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072242","SB23.I29910","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",404.94,11-FEB-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072242","SB23.I29911","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",404.94,11-FEB-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072242","SB23.I29912","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",17.87,15-DEC-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I20626","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",48.62,02-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I17684","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",34.58,30-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I19499","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",49.4,29-FEB-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072242","SB23.I28511","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",10.79,11-FEB-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072242","SB23.I29565","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",6.44,11-FEB-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072242","SB23.I29566","P2016",
C00579458,"P60008059","Bush, Jeb","THE CAPITAL HOTEL",2435.58,12-FEB-16,"LITTLE ROCK","AR","72201","FACILITY RENTAL/CATERING","X","","SB23","1072242","SB23.I28725","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",2.77,11-FEB-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072242","SB23.I29807","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",268.44,11-FEB-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072242","SB23.I29789","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",9.51,13-NOV-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I21861","P2016",
C00579458,"P60008059","Bush, Jeb","REPUBLICAN PARTY OF ARKANSAS",25000,27-OCT-15,"LITTLE ROCK","AR","72201","BALLOT ACCESS FEE","","","SB23","1072235","SB23.I9297","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",200.56,06-NOV-15,"BENTONVILLE","AR","72716","PRINTING","X","","SB23","1072235","SB23.I17992","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",4,16-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I20887","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",10.96,02-NOV-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I20890","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",54.03,07-OCT-15,"BENTONVILLE","AR","72716","OFFICE EQUIPMENT","X","","SB23","1072235","SB23.I23720","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",94.2,02-OCT-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I21090","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",59.58,02-OCT-15,"BENTONVILLE","AR","72716","FOOD AND BEVERAGE","X","","SB23","1072235","SB23.I21103","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",87.91,02-NOV-15,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1072235","SB23.I20911","P2016",
C00579458,"P60008059","Bush, Jeb","WALMART",155.05,03-MAR-16,"BENTONVILLE","AR","72716","OFFICE SUPPLIES","X","","SB23","1063896","SB23.I31252","P2016",
