cmte_id,cand_id,cand_nm,recipient_nm,disb_amt,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp
C00580480,"P60006046","Walker, Scott","US AIRWAYS",151.1,11-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139880","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",151.1,11-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139881","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",151.1,11-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139882","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",25,12-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139870","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",25,12-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139871","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",25,12-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139872","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",45.5,12-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139873","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",45.5,12-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139874","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",45.5,12-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139875","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",15,14-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139865","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",166.1,14-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139883","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",166.1,14-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139884","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",166.1,14-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139885","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",166.1,14-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139886","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",166.1,14-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139887","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",407.6,14-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139893","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",407.6,14-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139894","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",407.6,14-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139895","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",407.6,14-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139896","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",407.6,14-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139897","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",769.2,14-SEP-15,"PHOENIX","AZ","85034","CREDIT CARD PAYMENT: TRAVEL: AIR","X","","SB23","1057130","SB23.139903","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",777.6,23-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6077","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",777.6,23-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6078","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",777.6,23-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6079","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",777.6,23-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6080","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",26,27-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6081","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",22,27-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6082","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",679.2,29-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6083","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",49,30-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6084","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",49,30-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6085","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",49,30-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6086","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",49,30-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6087","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",477.6,30-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6088","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",477.6,30-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6089","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",477.6,30-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6090","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",477.6,30-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6091","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",140.1,01-AUG-15,"PHOENIX","AZ","85034","GALLATIN 09/09 REIMBURSEMENT: TRAVEL: AI","X","","SB23","1057127","SB23.6153","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",380.6,04-AUG-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6092","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",380.6,04-AUG-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6093","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",49,05-AUG-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6094","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",477.6,05-AUG-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6095","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",-49,05-AUG-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6096","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",511.6,08-AUG-15,"PHOENIX","AZ","85034","GALLATIN 09/09 REIMBURSEMENT: TRAVEL: AI","X","","SB23","1057127","SB23.6154","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",49,11-AUG-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6097","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",49,11-AUG-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 09/03 PMT: TRAVEL","X","","SB23","1057127","SB23.6098","P2016",
C00580480,"P60006046","Walker, Scott","WRIGHTVISION EVENTS LLC",423,11-JAN-16,"GLENDALE","AZ","85308","FUNDRAISING CONSULTING","","","SB23","1054762","SB23.140512","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",131.03,02-JUL-15,"PHOENIX","AZ","85016","AMEX 08/19 PMT: TRAVEL: LODGING","X","","SB23","1057127","SB23.4460","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",131.03,02-JUL-15,"PHOENIX","AZ","85016","AMEX 08/19 PMT: TRAVEL: LODGING","X","","SB23","1057127","SB23.4461","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",293.96,17-JUL-15,"PHOENIX","AZ","85016","DINERS CLUB MASTERCARD 07/28: TRAVEL: LO","X","","SB23","1057127","SB23.4462","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",134.39,17-JUL-15,"PHOENIX","AZ","85016","DINERS CLUB MASTERCARD 07/28: TRAVEL: LO","X","","SB23","1057127","SB23.4463","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",302.38,17-JUL-15,"PHOENIX","AZ","85016","NEITZEL 08/07 REIMBURSEMENT: TRAVEL: LOD","X","","SB23","1057127","SB23.4466","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",212.69,18-JUL-15,"PHOENIX","AZ","85016","DINERS CLUB MASTERCARD 07/28: TRAVEL: LO","X","","SB23","1057127","SB23.4464","P2016",
C00580480,"P60006046","Walker, Scott","BEST WESTERN",212.69,18-JUL-15,"PHOENIX","AZ","85016","DINERS CLUB MASTERCARD 07/28: TRAVEL: LO","X","","SB23","1057127","SB23.4465","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",484.1,05-JUN-15,"PHOENIX","AZ","85034","AMEX 07/22 PMT: TRAVEL: AIR","X","","SB23","1057127","SB23.6044","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",484.1,05-JUN-15,"PHOENIX","AZ","85034","AMEX 07/22 PMT: TRAVEL: AIR","X","","SB23","1057127","SB23.6045","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",753.5,18-JUN-15,"PHOENIX","AZ","85034","GALLATIN 09/09 REIMBURSEMENT: TRAVEL: AI","X","","SB23","1057127","SB23.6147","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",198.1,23-JUN-15,"PHOENIX","AZ","85034","GALLATIN 09/09 REIMBURSEMENT: TRAVEL: AI","X","","SB23","1057127","SB23.6148","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",332.1,25-JUN-15,"PHOENIX","AZ","85034","GALLATIN 09/09 REIMBURSEMENT: TRAVEL: AI","X","","SB23","1057127","SB23.6149","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",542.1,30-JUN-15,"PHOENIX","AZ","85034","GALLATIN 09/09 REIMBURSEMENT: TRAVEL: AI","X","","SB23","1057127","SB23.6150","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",521.1,01-JUL-15,"PHOENIX","AZ","85034","GALLATIN 09/09 REIMBURSEMENT: TRAVEL: AI","X","","SB23","1057127","SB23.6151","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",181.6,03-JUL-15,"PHOENIX","AZ","85034","AMEX 08/19 PMT: TRAVEL: AIR","X","","SB23","1057127","SB23.6046","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",344.2,06-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 07/23: TRAVEL: AI","X","","SB23","1057127","SB23.6047","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",462.1,06-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 07/23: TRAVEL: AI","X","","SB23","1057127","SB23.6048","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",610.7,06-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 07/23: TRAVEL: AI","X","","SB23","1057127","SB23.6049","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",366.2,07-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 07/23: TRAVEL: AI","X","","SB23","1057127","SB23.6050","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",658.1,14-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 07/23: TRAVEL: AI","X","","SB23","1057127","SB23.6051","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",658.1,14-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 07/23: TRAVEL: AI","X","","SB23","1057127","SB23.6052","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",658.1,14-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 07/23: TRAVEL: AI","X","","SB23","1057127","SB23.6053","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",658.1,14-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 07/23: TRAVEL: AI","X","","SB23","1057127","SB23.6054","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",658.1,14-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 07/23: TRAVEL: AI","X","","SB23","1057127","SB23.6055","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",210,14-JUL-15,"PHOENIX","AZ","85034","SMITH 08/07 REIMBURSEMENT: TRAVEL: AIR","X","","SB23","1057127","SB23.6157","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",190.1,17-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 07/28: TRAVEL: AI","X","","SB23","1057127","SB23.6056","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",560.1,17-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 07/28: TRAVEL: AI","X","","SB23","1057127","SB23.6057","P2016",
C00580480,"P60006046","Walker, Scott","US AIRWAYS",336.1,17-JUL-15,"PHOENIX","AZ","85034","DINERS CLUB MASTERCARD 07/28: TRAVEL: AI","X","","SB23","1057127","SB23.6058","P2016",
